,demand,weekofyear_trans,hourofweek_trans
2018-06-03 02:00:00,645.9,758.0011904761902,625.4103448275862
2018-06-03 03:00:00,643.9000000000001,758.0011904761902,663.4206896551723
2018-06-03 04:00:00,602.9,758.0011904761902,652.2310344827586
2018-06-03 05:00:00,601.1,758.0011904761902,643.7275862068965
2018-06-03 06:00:00,600.5,758.0011904761902,638.3
2018-06-03 07:00:00,598.3,758.0011904761902,657.3206896551725
2018-06-03 08:00:00,648.5,758.0011904761902,697.7137931034483
2018-06-03 09:00:00,675.8,758.0011904761902,725.8448275862069
2018-06-03 10:00:00,688.6,758.0011904761902,748.5827586206896
2018-06-03 11:00:00,749.4000000000001,758.0011904761902,814.7758620689655
2018-06-03 12:00:00,841.5,758.0011904761902,917.5724137931034
2018-06-03 13:00:00,847.5999999999999,758.0011904761902,952.4896551724138
2018-06-03 14:00:00,845.0,758.0011904761902,959.4103448275864
2018-06-03 15:00:00,868.2,758.0011904761902,969.9448275862071
2018-06-03 16:00:00,878.4,758.0011904761902,980.0655172413793
2018-06-03 17:00:00,869.7,758.0011904761902,978.7931034482758
2018-06-03 18:00:00,854.2,758.0011904761902,959.6241379310345
2018-06-03 19:00:00,779.9,758.0011904761902,892.444827586207
2018-06-03 20:00:00,679.2,758.0011904761902,812.0344827586207
2018-06-03 21:00:00,711.8,758.0011904761902,788.8517241379309
2018-06-03 22:00:00,690.7,758.0011904761902,759.9103448275863
2018-06-03 23:00:00,673.5000000000001,758.0011904761902,748.3827586206896
2018-06-04 00:00:00,658.0,769.0291666666664,725.1241379310345
2018-06-04 01:00:00,644.5999999999999,769.0291666666664,710.5466666666667
2018-06-04 02:00:00,590.5,769.0291666666664,638.5333333333333
2018-06-04 03:00:00,614.4,769.0291666666664,674.0266666666666
2018-06-04 04:00:00,608.6,769.0291666666664,654.0
2018-06-04 05:00:00,611.8,769.0291666666664,647.09
2018-06-04 06:00:00,607.7,769.0291666666664,646.9100000000002
2018-06-04 07:00:00,617.5,769.0291666666664,670.7933333333333
2018-06-04 08:00:00,700.7,769.0291666666664,752.9433333333334
2018-06-04 09:00:00,824.8000000000001,769.0291666666664,875.0466666666666
2018-06-04 10:00:00,887.3999999999999,769.0291666666664,947.0300000000001
2018-06-04 11:00:00,914.9,769.0291666666664,1016.3366666666667
2018-06-04 12:00:00,936.5,769.0291666666664,1032.8733333333334
2018-06-04 13:00:00,939.4,769.0291666666664,1047.41
2018-06-04 14:00:00,917.6999999999999,769.0291666666664,1031.48
2018-06-04 15:00:00,946.3,769.0291666666664,1042.4466666666665
2018-06-04 16:00:00,952.6000000000001,769.0291666666664,1042.3033333333333
2018-06-04 17:00:00,957.8,769.0291666666664,1028.7999999999997
2018-06-04 18:00:00,923.8,769.0291666666664,1000.23
2018-06-04 19:00:00,852.1999999999999,769.0291666666664,930.7433333333333
2018-06-04 20:00:00,716.2,769.0291666666664,843.6766666666665
2018-06-04 21:00:00,696.9,769.0291666666664,808.5099999999999
2018-06-04 22:00:00,689.5,769.0291666666664,768.3366666666667
2018-06-04 23:00:00,677.7,769.0291666666664,743.2966666666665
2018-06-05 00:00:00,662.5,769.0291666666664,715.0199999999999
2018-06-05 01:00:00,644.9000000000001,769.0291666666664,709.1233333333333
2018-06-05 02:00:00,603.5,769.0291666666664,622.1899999999998
2018-06-05 03:00:00,628.3,769.0291666666664,681.24
2018-06-05 04:00:00,610.4,769.0291666666664,656.0366666666669
2018-06-05 05:00:00,608.0,769.0291666666664,647.7800000000002
2018-06-05 06:00:00,611.6,769.0291666666664,647.6966666666667
2018-06-05 07:00:00,620.8,769.0291666666664,674.41
2018-06-05 08:00:00,713.6,769.0291666666664,758.6533333333332
2018-06-05 09:00:00,837.4000000000001,769.0291666666664,872.8466666666668
2018-06-05 10:00:00,937.8999999999999,769.0291666666664,988.3
2018-06-05 11:00:00,998.3,769.0291666666664,1041.3
2018-06-05 12:00:00,1029.3,769.0291666666664,1060.2733333333333
2018-06-05 13:00:00,997.5,769.0291666666664,1061.3100000000002
2018-06-05 14:00:00,984.5,769.0291666666664,1068.5966666666668
2018-06-05 15:00:00,999.9,769.0291666666664,1056.5333333333333
2018-06-05 16:00:00,1012.2,769.0291666666664,1060.1766666666667
2018-06-05 17:00:00,983.6,769.0291666666664,1031.3466666666668
2018-06-05 18:00:00,939.5,769.0291666666664,1012.3333333333335
2018-06-05 19:00:00,849.3,769.0291666666664,940.3233333333334
2018-06-05 20:00:00,719.3999999999999,769.0291666666664,844.5266666666665
2018-06-05 21:00:00,714.3,769.0291666666664,807.7333333333333
2018-06-05 22:00:00,702.7,769.0291666666664,767.5100000000001
2018-06-05 23:00:00,679.5,769.0291666666664,743.2133333333333
2018-06-06 00:00:00,652.2,769.0291666666664,716.1266666666666
2018-06-06 01:00:00,639.4000000000001,769.0291666666664,703.65
2018-06-06 02:00:00,576.2,769.0291666666664,629.8633333333333
2018-06-06 03:00:00,629.0999999999999,769.0291666666664,668.3499999999999
2018-06-06 04:00:00,644.0,769.0291666666664,660.95
2018-06-06 05:00:00,603.6,769.0291666666664,646.3
2018-06-06 06:00:00,605.3,769.0291666666664,641.8
2018-06-06 07:00:00,654.9000000000001,769.0291666666664,672.5000000000001
2018-06-06 08:00:00,741.0,769.0291666666664,748.0766666666666
2018-06-06 09:00:00,845.4,769.0291666666664,879.1433333333333
2018-06-06 10:00:00,922.5999999999999,769.0291666666664,979.4033333333332
2018-06-06 11:00:00,970.0999999999999,769.0291666666664,1041.5266666666664
2018-06-06 12:00:00,979.4,769.0291666666664,1057.9466666666667
2018-06-06 13:00:00,1020.0,769.0291666666664,1063.7100000000003
2018-06-06 14:00:00,1010.8999999999999,769.0291666666664,1059.6766666666667
2018-06-06 15:00:00,1024.7,769.0291666666664,1072.743333333333
2018-06-06 16:00:00,1009.5999999999999,769.0291666666664,1066.58
2018-06-06 17:00:00,988.3999999999999,769.0291666666664,1053.4366666666667
2018-06-06 18:00:00,926.7,769.0291666666664,1023.4066666666665
2018-06-06 19:00:00,850.0,769.0291666666664,948.1833333333333
2018-06-06 20:00:00,739.6,769.0291666666664,843.8666666666668
2018-06-06 21:00:00,703.0,769.0291666666664,805.6833333333335
2018-06-06 22:00:00,701.9000000000001,769.0291666666664,774.2099999999999
